City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,malango,-2.9627,119.9001,292.99,96,100,0.89,ID,1714753195
283,singkawang,0.9,109.0,299.6,87,100,1.23,ID,1714753195
284,turkestan,43.3333,68.25,296.01,39,100,8.98,KZ,1714752989
285,amalapuram,16.5833,82.0167,300.9,91,0,0.99,IN,1714753195
286,mariehamn,60.0973,19.9348,284.07,62,0,2.57,AX,1714753195
287,guitiriz,43.1817,-7.8966,285.83,98,100,3.95,ES,1714753195
288,hurghada,27.2574,33.8129,301.95,36,0,6.22,EG,1714752990
289,wynyard,-41.0,145.7167,284.07,76,41,3.11,AU,1714753195
290,broome,42.2506,-75.833,295.63,57,0,5.66,US,1714753195
291,puerto ayora,-0.7393,-90.3518,301.13,72,80,3.47,EC,1714753195
292,egilsstadir,65.2653,-14.3948,279.92,89,100,1.46,IS,1714752990
293,princeville,45.7668,-61.2985,282.38,90,100,5.14,CA,1714752990
294,hermosillo,29.0667,-110.9667,298.66,31,0,2.06,MX,1714752976
295,cabo san lucas,22.8909,-109.9124,300.16,67,0,4.12,MX,1714752990
296,siwa oasis,29.2041,25.5195,305.43,13,31,3.9,EG,1714752990
297,saldanha,-33.0117,17.9442,293.18,86,60,2.73,ZA,1714753196
298,murun-kuren,49.6342,100.1625,283.49,26,82,2.38,MN,1714752990
299,awjilah,29.1081,21.2869,305.23,10,9,4.28,LY,1714752990
300,nagarote,12.2659,-86.5647,305.97,42,35,0.77,NI,1714753196
301,nosy varika,-20.5833,48.5333,297.26,82,56,5.1,MG,1714752990
302,manicore,-5.8092,-61.3003,305.21,63,100,1.78,BR,1714753196
303,yeosu,34.7546,127.6599,287.47,70,1,0.61,KR,1714753196
304,nanao,37.05,136.9667,286.14,86,0,0.5,JP,1714752990
305,kidal,18.4411,1.4078,316.01,9,6,2.22,ML,1714752990
306,nikel,69.4128,30.222,274.25,97,100,1.33,RU,1714752990
307,yelizovo,53.1873,158.3805,274.71,91,100,2.68,RU,1714752990
308,newman,37.3138,-121.0208,292.28,59,0,3.13,US,1714753196
309,jamestown,42.097,-79.2353,298.16,43,0,1.54,US,1714752991
310,lorengau,-2.0226,147.2712,300.7,79,100,1.59,PG,1714752991
